SIM3292_Global_Geology_Unit,FREQUENCY,MEAN_SIM3292_Global_Geology_latitude,VARIANCE_SIM3292_Global_Geology_latitude,RANGE_SIM3292_Global_Geology_latitude
Aa,13,317351.801981059543323,800497342030.486816406250000,2225252.633824264630675
AHi,342,-457133.719985726696905,4534852808351.449218750000000,8331151.926121463999152
AHtu,12,233275.998067809996428,334839281307.870361328125000,1745919.809401402249932
AHv,12,1119026.624718620674685,701913291023.861450195312500,2646536.161825590766966
ANa,17,1102364.976299389032647,5354116734620.970703125000000,5478014.451342517510056
Ap,1,-4228535.548383976332843,0.000000000000000,0.000000000000000
Apu,5,952768.295609047054313,21569126482414.203125000000000,8756712.529779896140099
Av,8,2591449.425106070470065,95300986050.936386108398438,1057338.908724531298503
Ave,6,794385.852649909793399,939332195565.789428710937500,2798363.037602623924613
eAb,2,187881.277032121783122,11024899277059.626953125000000,4695721.302858512848616
eHb,2,-2532983.793798254337162,205286673045.644531250000000,640759.975413017906249
eHh,21,-485764.982905360055156,3730790351851.444335937500000,5964178.565360721200705
eHt,20,1178859.255093101644889,865960744423.271972656250000,3009592.341927545610815
eHv,23,-608558.501910143531859,2177679915168.262695312500000,4632413.068989977240562
eNh,112,-1343323.944434555945918,2336033649098.291015625000000,6520770.382882101461291
eNhm,10,-1739367.002820265013725,193940965733.150604248046875,1523513.355146123562008
HNb,2,-2521279.951506479643285,214746394001.154296875000000,655356.992792709264904
HNhu,11,-1143096.650293777463958,1269000729350.765380859375000,3316765.207762275356799
HNt,46,999106.750236820429564,1592762703136.264648437500000,4985535.985050867311656
Hp,9,-3917776.534991102758795,135277546380.199218750000000,1083078.780603708699346
Hpe,8,-2080520.270387461408973,15093495607830.341796875000000,8625650.800562353804708
Hpu,1,4381748.350473647005856,0.000000000000000,0.000000000000000
Ht,16,53113.402854037674842,262862508763.506835937500000,1699229.889548114268109
Hto,8,266172.696677938802168,497523795879.878479003906250,2083511.372142662992701
Htu,16,-274100.917579274857417,61146144042.483428955078125,965899.561146625550464
Hve,10,594768.974405938060954,1275864991956.319824218750000,3621420.374771497212350
lAa,4,424902.904241073527373,403158369882.860046386718750,1493588.522569202352315
lApc,2,-26496.011525548994541,40763919416696.664062500000000,9029276.761368727311492
lApd,5,4244414.621427068486810,15568832870.152343750000000,251705.836232436355203
lAv,11,1332814.257266802480444,427842355619.313659667968750,1969772.580501320073381
lAvf,9,211200.696109687443823,429983428766.031066894531250,2006197.060614281799644
lHb,1,-2392734.383071998599917,0.000000000000000,0.000000000000000
lHl,10,2844812.558333951048553,1010394656661.798583984375000,3459347.583579717203975
lHt,28,1189756.948201187886298,1702147786392.483398437500000,4284132.018128767609596
lHv,13,74771.740531655712402,1977033912716.584716796875000,4523118.947694187983871
lHvf,7,1186742.662578476592898,945011301555.976196289062500,2881890.550439583137631
lNh,292,-1667121.806574278278276,1861875693500.854736328125000,6605043.137560209259391
lNv,9,-1986865.278021105099469,714762029162.639648437500000,2721243.396162927616388
mAl,26,3156026.733428279869258,261604802038.153747558593750,1791177.082561629358679
mNh,99,-1535258.402193541172892,2184234581180.638183593750000,6741796.139305368065834
mNhm,15,162610.257106454402674,879115291930.937255859375000,4092402.655434602871537
Nhe,23,-2117544.419056004844606,548839414304.784790039062500,3724681.183951764367521
Nhu,16,-639524.650345492176712,1469582498729.985351562500000,5169167.314774028956890
Nve,8,-1690440.600731575861573,1052495257969.629516601562500,2805679.480568495579064
